Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,False
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,Volkswagen
Volkswagen,Golf,1.6,Petrol,2001,140596,3988,Volkswagen
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,Volkswagen
BMW,X3,3.0,Petrol,2018,20441,53379,Volkswagen
Toyota,Yaris,1.2,Petrol,1986,147185,1145,Volkswagen
BMW,M5,4.4,Petrol,1997,172030,9255,Volkswagen
Ford,Focus,1.8,Petrol,2005,149956,6094,Volkswagen
Volkswagen,Passat,1.6,Diesel,2009,134426,9345,Volkswagen
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,Volkswagen
Toyota,Prius,1.8,Hybrid,2005,41969,16500,Volkswagen
Volkswagen,Passat,2.0,Petrol,2013,38210,25482,Volkswagen
Toyota,Prius,1.0,Hybrid,2012,46972,19023,Volkswagen
BMW,X3,2.0,Diesel,2018,27389,44018,Volkswagen
Volkswagen,Polo,2.0,Petrol,1995,128234,2778,Volkswagen
Volkswagen,Passat,1.4,Diesel,2008,112309,9705,Volkswagen
Volkswagen,Polo,1.4,Petrol,1984,225099,489,Volkswagen
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,Volkswagen
Ford,Focus,1.4,Petrol,2005,97979,8039,Volkswagen
Ford,Mondeo,1.6,Petrol,2016,40104,26053,Volkswagen
Volkswagen,Passat,2.0,Petrol,1993,158259,2822,Volkswagen
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,Volkswagen
BMW,Z4,2.0,Petrol,2010,98644,14728,Volkswagen
Ford,Focus,2.0,Petrol,1991,176358,2025,Volkswagen
Ford,Mondeo,1.8,Diesel,1998,69223,7267,Volkswagen
BMW,X3,3.0,Petrol,2008,20860,27342,Volkswagen
Toyota,RAV4,2.0,Petrol,2009,59936,19881,Volkswagen
Volkswagen,Polo,1.4,Petrol,2012,58214,11916,Volkswagen
Ford,Fiesta,1.4,Petrol,2020,33832,22982,Volkswagen
Volkswagen,Golf,1.2,Diesel,2009,104436,8174,Volkswagen
BMW,Z4,2.0,Petrol,1992,249377,1246,Volkswagen
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,Volkswagen
Ford,Mondeo,1.8,Diesel,2007,115932,9481,Volkswagen
Ford,Fiesta,1.4,Petrol,2016,61363,14854,Volkswagen
Volkswagen,Polo,2.0,Petrol,2016,17810,23636,Volkswagen
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,Volkswagen
Volkswagen,Polo,2.0,Petrol,1990,142888,1771,Volkswagen
Toyota,Yaris,1.0,Petrol,2009,68094,8721,Volkswagen
Ford,Mondeo,2.0,Diesel,2016,51724,28482,Volkswagen
Volkswagen,Polo,1.0,Petrol,1998,224106,1062,Volkswagen
Ford,Fiesta,1.0,Petrol,2009,83796,6768,Volkswagen
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,Volkswagen
Volkswagen,Passat,2.0,Diesel,1997,173089,3416,Volkswagen
Ford,Focus,2.0,Diesel,2013,75451,20153,Volkswagen
Toyota,Prius,1.0,Hybrid,2006,103766,8671,Volkswagen
Ford,Mondeo,1.6,Diesel,2014,82221,18224,Volkswagen
Volkswagen,Passat,1.6,Diesel,1985,19000,4129,Volkswagen
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,Volkswagen
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,Volkswagen
Volkswagen,Polo,1.2,Diesel,2018,37411,19649,Volkswagen
Toyota,Yaris,1.2,Petrol,2004,179016,2914,Volkswagen
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,Volkswagen
Toyota,Prius,1.0,Hybrid,1996,87664,5001,Volkswagen
Ford,Mondeo,1.8,Diesel,2016,29439,30886,Volkswagen
Ford,Focus,1.0,Diesel,2006,120770,6429,Volkswagen
Ford,Mondeo,1.6,Diesel,1998,246137,1614,Volkswagen
Toyota,Prius,1.4,Hybrid,2012,72136,19139,Volkswagen
Ford,Focus,2.0,Diesel,2001,147478,5272,Volkswagen
BMW,Z4,2.4,Petrol,1997,149908,4558,Volkswagen
BMW,M5,4.4,Petrol,1997,66783,20664,Volkswagen
Ford,Mondeo,1.4,Diesel,2020,18929,37720,Volkswagen
Volkswagen,Golf,1.4,Diesel,2013,53405,16365,Volkswagen
Volkswagen,Golf,1.4,Diesel,2001,136439,4049,Volkswagen
Volkswagen,Polo,1.2,Petrol,2001,110779,3670,Volkswagen
Volkswagen,Golf,2.0,Petrol,1991,188856,1528,Volkswagen
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,Volkswagen
Ford,Focus,2.0,Diesel,1994,162098,2930,Volkswagen
Ford,Mondeo,1.6,Diesel,2013,79521,17370,Volkswagen
Ford,Mondeo,1.8,Diesel,2011,97523,14195,Volkswagen
Volkswagen,Golf,1.6,Petrol,1994,104541,3304,Volkswagen
Volkswagen,Golf,1.6,Petrol,2016,57451,19835,Volkswagen
Toyota,Yaris,1.2,Petrol,2003,104794,4947,Volkswagen
Toyota,Yaris,1.0,Petrol,2002,227469,1517,Volkswagen
Volkswagen,Passat,1.8,Diesel,2006,81107,12073,Volkswagen
Ford,Fiesta,1.2,Petrol,2008,79566,7142,Volkswagen
Toyota,Yaris,1.4,Petrol,2007,85068,8043,Volkswagen
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,Volkswagen
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,Volkswagen
Volkswagen,Passat,1.6,Diesel,1999,207639,2584,Volkswagen
BMW,X3,3.0,Diesel,1990,150375,3510,Volkswagen
Volkswagen,Passat,1.4,Diesel,2013,70458,18256,Volkswagen
Toyota,Prius,1.8,Hybrid,2016,44550,33820,Volkswagen
Volkswagen,Passat,1.6,Petrol,2012,53390,19428,Volkswagen
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,Volkswagen
Ford,Fiesta,1.0,Petrol,2002,184586,1916,Volkswagen
Ford,Fiesta,1.2,Petrol,2004,160915,2933,Volkswagen
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,Volkswagen
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,Volkswagen
Volkswagen,Polo,1.4,Petrol,2019,23181,23449,Volkswagen
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,Volkswagen
Volkswagen,Golf,1.8,Hybrid,1999,105901,5810,Volkswagen
Ford,Focus,1.4,Diesel,2014,24652,24721,Volkswagen
Toyota,Yaris,1.0,Petrol,1995,255196,737,Volkswagen
Volkswagen,Polo,1.0,Petrol,2014,24579,14089,Volkswagen
Toyota,RAV4,1.8,Petrol,2021,21354,52908,Volkswagen
Volkswagen,Golf,2.0,Petrol,1991,117615,2741,Volkswagen
Ford,Focus,2.0,Petrol,1999,135077,4855,Volkswagen
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,Volkswagen
Ford,Fiesta,1.4,Petrol,2010,96320,7831,Volkswagen
Volkswagen,Golf,1.6,Petrol,1990,137231,1967,Volkswagen
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,Volkswagen
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,Volkswagen
BMW,M5,4.0,Petrol,2012,46755,60859,Volkswagen
Volkswagen,Polo,1.6,Petrol,2001,97700,4668,Volkswagen
BMW,M5,5.0,Petrol,2016,42059,91415,Volkswagen
Volkswagen,Polo,1.6,Petrol,2012,48576,13537,Volkswagen
Volkswagen,Polo,1.4,Petrol,2006,76691,7067,Volkswagen
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,Volkswagen
Ford,Focus,2.0,Petrol,2000,110549,6273,Volkswagen
Ford,Fiesta,1.0,Petrol,1992,183342,994,Volkswagen
Ford,Focus,1.4,Petrol,2012,94259,13169,Volkswagen
Ford,Mondeo,1.4,Diesel,2018,42017,28904,Volkswagen
Volkswagen,Golf,1.2,Petrol,1990,159547,1420,Volkswagen
Volkswagen,Polo,1.4,Petrol,2000,73749,4833,Volkswagen
Toyota,Yaris,1.0,Hybrid,2009,63292,10802,Volkswagen
Volkswagen,Passat,1.4,Diesel,2013,71904,18080,Volkswagen
Ford,Mondeo,1.4,Diesel,2006,159969,5504,Volkswagen
Toyota,Yaris,1.2,Petrol,2013,75588,11861,Volkswagen
Ford,Mondeo,1.4,Diesel,2018,18334,33119,Volkswagen
Volkswagen,Polo,1.2,Petrol,1995,175506,1460,Volkswagen
Toyota,Prius,1.8,Hybrid,1985,235671,949,Volkswagen
Volkswagen,Polo,1.0,Petrol,1996,144412,1846,Volkswagen
BMW,M5,4.4,Petrol,2008,79613,39453,Volkswagen
BMW,M5,4.4,Petrol,2004,108396,24571,Volkswagen
Porsche,Cayenne,3.0,Petrol,2013,68093,39031,Volkswagen
Ford,Mondeo,1.6,Hybrid,2019,30152,40482,Volkswagen
Porsche,911,3.0,Petrol,2015,44761,77091,Volkswagen
Toyota,Yaris,1.0,Petrol,2012,52525,11780,Volkswagen
Toyota,Yaris,1.0,Petrol,2005,145747,3754,Volkswagen
Ford,Mondeo,1.8,Diesel,2016,16626,33172,Volkswagen
Ford,Mondeo,1.4,Diesel,1998,155019,3364,Volkswagen
Toyota,Prius,1.4,Hybrid,1996,188308,2658,Volkswagen
Ford,Focus,2.0,Petrol,2001,72923,8773,Volkswagen
Volkswagen,Golf,1.4,Diesel,2007,104718,7710,Volkswagen
Volkswagen,Polo,2.0,Petrol,1992,258967,731,Volkswagen
Volkswagen,Golf,1.2,Hybrid,2000,168963,3069,Volkswagen
Ford,Focus,2.0,Diesel,1993,90439,4786,Volkswagen
Toyota,Prius,1.4,Hybrid,1991,213652,1523,Volkswagen
Toyota,RAV4,2.2,Hybrid,2012,100268,23140,Volkswagen
Volkswagen,Golf,2.0,Petrol,2019,26479,32650,Volkswagen
Volkswagen,Passat,1.4,Diesel,2009,109384,10605,Volkswagen
Ford,Focus,2.0,Petrol,2014,39083,25884,Volkswagen
Volkswagen,Passat,2.0,Petrol,2002,73945,9749,Volkswagen
Ford,Fiesta,1.4,Petrol,2008,114007,6011,Volkswagen
Toyota,Prius,1.8,Hybrid,2003,125903,8052,Volkswagen
Volkswagen,Polo,1.4,Petrol,1998,126188,2884,Volkswagen
Porsche,911,3.0,Petrol,1990,178957,5344,Volkswagen
Ford,Mondeo,1.6,Diesel,1996,118258,4217,Volkswagen
Toyota,Yaris,1.4,Hybrid,2004,100476,7076,Volkswagen
Ford,Focus,1.0,Petrol,1985,288486,347,Volkswagen
Volkswagen,Passat,2.0,Diesel,1997,50121,8564,Volkswagen
Porsche,911,2.6,Petrol,2003,130068,17702,Volkswagen
Volkswagen,Golf,1.8,Petrol,1992,135772,2412,Volkswagen
Volkswagen,Golf,1.8,Petrol,2010,70562,12942,Volkswagen
Ford,Focus,2.0,Diesel,2003,139651,6417,Volkswagen
Ford,Focus,1.6,Petrol,2004,106068,7575,Volkswagen
Porsche,718 Cayman,2.0,Petrol,2019,18978,54090,Volkswagen
Volkswagen,Polo,1.6,Diesel,2000,85142,5015,Volkswagen
Ford,Mondeo,1.6,Diesel,2012,64490,17978,Volkswagen
Toyota,Yaris,1.0,Petrol,1993,121417,2045,Volkswagen
Ford,Focus,1.0,Petrol,2018,19640,26712,Volkswagen
Toyota,RAV4,2.2,Hybrid,2009,99740,19019,Volkswagen
Toyota,Yaris,1.4,Petrol,2004,159279,3718,Volkswagen
Ford,Focus,1.4,Petrol,1996,86718,4782,Volkswagen
Porsche,718 Cayman,4.0,Petrol,1993,150186,5438,Volkswagen
BMW,M5,4.4,Petrol,2019,20736,118474,Volkswagen
Volkswagen,Polo,1.4,Petrol,1986,70039,1948,Volkswagen
BMW,X3,3.0,Diesel,2017,30285,49606,Volkswagen
Toyota,Yaris,1.2,Petrol,2016,38795,18326,Volkswagen
Toyota,RAV4,2.4,Hybrid,1995,203197,3359,Volkswagen
Toyota,RAV4,2.4,Petrol,2011,80839,21637,Volkswagen
Volkswagen,Golf,1.4,Petrol,2002,174535,3010,Volkswagen
Volkswagen,Passat,1.6,Petrol,1993,131899,3125,Volkswagen
Ford,Focus,1.0,Petrol,2021,14063,33627,Volkswagen
BMW,Z4,2.4,Petrol,1996,149048,4294,Volkswagen
Volkswagen,Polo,1.0,Petrol,1990,145249,1229,Volkswagen
Toyota,Prius,1.0,Hybrid,2007,61357,12446,Volkswagen
Toyota,Yaris,1.2,Hybrid,1997,13000,7167,Volkswagen
Ford,Fiesta,1.4,Petrol,1986,263206,384,Volkswagen
Toyota,Yaris,1.4,Petrol,2010,52847,12174,Volkswagen
Volkswagen,Passat,1.6,Diesel,2009,100782,12083,Volkswagen
Volkswagen,Polo,1.0,Petrol,1999,193458,1491,Volkswagen
Toyota,Yaris,1.2,Petrol,1997,174912,1892,Volkswagen
Ford,Mondeo,2.0,Hybrid,1998,169431,4074,Volkswagen
Toyota,Prius,1.0,Hybrid,1993,269373,882,Volkswagen
BMW,X3,2.0,Diesel,2009,129764,11999,Volkswagen
Toyota,Prius,1.0,Hybrid,1998,104481,5060,Volkswagen
Ford,Mondeo,2.0,Diesel,2008,105468,11556,Volkswagen
BMW,M5,4.0,Petrol,2000,153596,12574,Volkswagen
Ford,Fiesta,1.4,Petrol,1993,84644,2739,Volkswagen
Volkswagen,Golf,1.6,Petrol,2001,205054,2309,Volkswagen
Volkswagen,Polo,1.0,Petrol,1993,159497,1335,Volkswagen
Ford,Focus,1.8,Petrol,2002,166994,4332,Volkswagen
Volkswagen,Polo,1.4,Petrol,1997,143465,2352,Volkswagen
Ford,Mondeo,1.6,Diesel,2015,59927,22621,Volkswagen
Porsche,718 Cayman,4.0,Petrol,2005,132662,13935,Volkswagen
Ford,Fiesta,1.4,Petrol,2014,54142,13615,Volkswagen
Ford,Fiesta,1.0,Petrol,2001,92561,3732,Volkswagen
Ford,Mondeo,1.6,Petrol,2010,80723,13432,Volkswagen
Toyota,Yaris,1.2,Petrol,1985,73419,1861,Volkswagen
Ford,Focus,1.6,Petrol,1995,84529,4856,Volkswagen
Ford,Focus,1.6,Diesel,2022,5750,49870,Volkswagen
Toyota,RAV4,2.4,Hybrid,2008,144529,13154,Volkswagen
Toyota,RAV4,1.8,Hybrid,2014,45184,34655,Volkswagen
Volkswagen,Polo,1.0,Petrol,1992,214329,777,Volkswagen
Toyota,Prius,1.8,Hybrid,1997,188455,3218,Volkswagen
Volkswagen,Polo,1.4,Petrol,1994,182166,1394,Volkswagen
Toyota,RAV4,2.2,Hybrid,2018,39082,51898,Volkswagen
Volkswagen,Passat,1.8,Diesel,2001,171268,4296,Volkswagen
BMW,M5,4.4,Petrol,2011,78714,48487,Volkswagen
Volkswagen,Passat,2.0,Diesel,2011,73733,18680,Volkswagen
Ford,Mondeo,1.8,Diesel,1997,242305,1659,Volkswagen
Ford,Mondeo,1.8,Diesel,2001,166344,4239,Volkswagen
Toyota,Yaris,1.2,Hybrid,1990,97463,2633,Volkswagen
Ford,Mondeo,1.4,Diesel,2013,50433,19668,Volkswagen
Ford,Mondeo,1.4,Diesel,2018,24229,32057,Volkswagen
BMW,Z4,2.2,Petrol,2009,74444,17133,Volkswagen
Toyota,RAV4,2.2,Hybrid,2016,45462,43702,Volkswagen
Ford,Mondeo,1.4,Diesel,2006,89524,9500,Volkswagen
Volkswagen,Passat,1.6,Petrol,1991,16000,5963,Volkswagen
Ford,Mondeo,2.0,Diesel,2022,1487,56459,Volkswagen
Volkswagen,Golf,1.4,Petrol,2011,87947,10825,Volkswagen
Ford,Mondeo,1.6,Diesel,2016,40113,27354,Volkswagen
Volkswagen,Golf,1.4,Diesel,2000,76717,5902,Volkswagen
Volkswagen,Passat,1.4,Petrol,1991,269218,769,Volkswagen
Toyota,Prius,1.0,Hybrid,2015,48540,23011,Volkswagen
Toyota,Prius,1.4,Hybrid,2013,88811,18232,Volkswagen
Toyota,Yaris,1.0,Petrol,2002,84781,4880,Volkswagen
Toyota,RAV4,2.2,Hybrid,1989,272683,1142,Volkswagen
Ford,Mondeo,1.6,Diesel,2018,46461,30075,Volkswagen
Toyota,RAV4,1.8,Hybrid,2014,53321,32948,Volkswagen
Ford,Mondeo,1.6,Petrol,1994,264924,989,Volkswagen
Porsche,Cayenne,4.0,Petrol,2000,145140,10699,Volkswagen
Toyota,Prius,1.8,Hybrid,2007,132296,9998,Volkswagen
Volkswagen,Golf,1.2,Diesel,1997,144909,2682,Volkswagen
Ford,Fiesta,1.0,Diesel,1986,138224,1019,Volkswagen
Porsche,718 Cayman,4.0,Petrol,1988,219671,2140,Volkswagen
Volkswagen,Passat,1.4,Diesel,1989,371762,264,Volkswagen
Volkswagen,Passat,1.4,Diesel,1990,74327,3838,Volkswagen
Volkswagen,Golf,1.6,Petrol,1989,205047,1037,Volkswagen
Ford,Mondeo,1.6,Diesel,2022,7454,48982,Volkswagen
Volkswagen,Golf,2.0,Diesel,2016,11234,30509,Volkswagen
Volkswagen,Polo,1.6,Petrol,2010,97296,8531,Volkswagen
Volkswagen,Golf,2.0,Petrol,2017,44227,25745,Volkswagen
Volkswagen,Passat,1.4,Diesel,1985,267541,549,Volkswagen
BMW,Z4,2.2,Petrol,1997,250431,1806,Volkswagen
Ford,Fiesta,1.2,Petrol,1989,149015,1190,Volkswagen
Toyota,RAV4,2.0,Hybrid,2004,138340,9666,Volkswagen
Toyota,Yaris,1.2,Hybrid,1987,133425,1640,Volkswagen
Toyota,Prius,1.0,Hybrid,2001,143411,4571,Volkswagen
Volkswagen,Polo,1.4,Petrol,2016,40742,17342,Volkswagen
BMW,M5,5.0,Petrol,1999,82222,22668,Volkswagen
Volkswagen,Golf,1.4,Petrol,2012,49674,14925,Volkswagen
Volkswagen,Polo,1.6,Petrol,2012,66103,12102,Volkswagen
Volkswagen,Golf,1.6,Petrol,1999,91360,5075,Volkswagen
Volkswagen,Polo,2.0,Petrol,1990,215167,954,Volkswagen
BMW,M5,4.0,Petrol,2006,30902,44836,Volkswagen
Porsche,911,3.0,Petrol,2014,65307,63310,Volkswagen
Toyota,Prius,1.8,Hybrid,2018,19017,44797,Volkswagen
Toyota,Yaris,1.4,Hybrid,2007,143360,6209,Volkswagen
BMW,Z4,2.4,Petrol,2021,4915,60317,Volkswagen
BMW,Z4,3.0,Petrol,1993,260043,1477,Volkswagen
Ford,Focus,1.4,Petrol,2015,36919,23449,Volkswagen
Volkswagen,Polo,1.4,Petrol,2001,105306,4129,Volkswagen
Toyota,Prius,1.8,Hybrid,1992,231649,1569,Volkswagen
Ford,Focus,1.6,Petrol,1994,74472,4869,Volkswagen
